Taxa	Flow_col
PI229313	2
PI229314	2
PI229315	1
PI229316	1
PI229317	2
PI229319	2
PI229320	2
PI229321	2
PI229322	1
PI229324	1
PI229325	2
PI229326	2
PI229327	2
PI229328	1
PI229330	1
PI229331	2
PI229333	2
PI229334	2
PI229335	1
PI229336	2
PI229337	2
PI229339	2
PI229340	1
PI229341	2
PI229342	1
PI229343	1
PI229344	1
PI229345	1
PI229346	2
PI229347	2
PI229349	2
PI229350	1
PI229351	2
PI229352	2
PI229353	2
PI229354	2
PI229356	1
PI229357	2
PI229358	2
PI229359	2
PI229360	2
PI229361	2
PI229362	2
PI229738	1
PI230970	2
PI230971	2
PI230972	1
PI230973	2
PI230974	2
PI230975	2
PI230976	2
PI230977	2
PI230978	2
PI230979	1
PI230980	2
PI230981	2
PI231172	2
PI232899	2
PI232900	2
PI232901	1
PI232902	2
PI232987	2
PI232988	2
PI232989	2
PI232990	2
PI232991	2
PI232992	2
PI232993	1
PI232994	2
PI232995	2
PI232996	1
PI232997	2
PI232998	2
PI232999	2
PI235335	2
PI235339	2
PI235340	1
PI235344	1
PI235346	1
PI235347	1
PI238108	2
PI238109	2
PI238920	2
PI238921	1
PI238922	1
PI238923	2
PI238924	2
PI238925	1
PI238926	2
PI238928	2
PI238929	1
PI238930	1
PI238931	1
PI238932	1
PI238933	1
PI239235	1
PI239236	2
PI239237	2
PI239484	2
PI240079	1
PI240662A	NA
PI240662B	NA
PI240663	2
PI240664	2
PI240665	2
PI240666	2
PI240667A	NA
PI240667B	NA
PI240669	1
PI240670	2
PI240671	1
PI240672	2
PI240826A	NA
PI240826B	NA
PI241424	2
PI243514	1
PI243515	2
PI243516	2
PI243517	1
PI243518	1
PI243519	2
PI243520	2
PI243521	2
PI243522	2
PI243523	2
PI243524	1
PI243525	2
PI243526	2
PI243527	1
PI243528	2
PI243529	2
PI243530	2
PI243531	2
PI243532	1
PI243533	2
PI243535	2
PI243536	2
PI243537	1
PI243538	2
PI243540	2
PI243541	1
PI243543	2
PI243544	2
PI243545	1
PI243546	2
PI243547	2
PI243548	2
PI243549	2
PI243550	2
PI243551	2
PI245007	2
PI245008	2
PI245331	2
PI246365	1
PI246366	2
PI246367	2
PI246368	2
PI246369	2
PI247678	1
PI247679	2
PI248395	2
PI248396	2
PI248397	2
PI248398	2
PI248399	2
PI248400	2
PI248401	2
PI248402	2
PI248403	2
PI248404	2
PI248405	2
PI248406	2
PI248407	2
PI248408	2
PI248409	2
PI248410	2
PI248509A	1
PI248509B	1
PI248510	2
PI248511	2
PI248512	2
PI248513	1
PI248514	1
PI248515	1
PI250002	2
PI250844	2
PI251585	2
PI251586	2
PI253650A	2
PI253650B	2
PI253651A	2
PI253651B	2
PI253651C	2
PI253651D	1
PI253652A	1
PI253652B	1
PI253652C	2
PI253652D	1
PI253653A	1
PI253653B	2
PI253653C	2
PI253653D	1
PI253654	1
PI253655	1
PI253656A	2
PI253656B	2
PI253657	2
PI253658A	2
PI253658B	1
PI253658C	2
PI253659	1
PI253660A	1
PI253660B	1
PI253661A	1
PI253661B	1
PI253661C	1
PI253662	2
PI253663	1
PI253664	1
PI253665A	1
PI253665B	1
PI253665C	2
PI253665D	1
PI253666A	1
PI253666B	2
PI255734	2
PI256376	2
PI257428	2
PI257429	1
PI257430	2
PI257431	2
PI257432	2
PI257433	2
PI257434	1
PI257435	2
PI257436	NA
PI257437	1
PI257438	1
PI257439	2
PI258383	2
PI258384	2
PI258385	2
PI258386	2
PI258387	2
PI259538	2
PI259539	2
PI259540	2
PI259542	2
PI259543	2
PI261271	1
PI261272A	NA
PI261272B	NA
PI261272C	NA
PI261272D	NA
PI261466	1
PI261467	2
PI261468	2
PI261469	1
PI261472	1
PI261473	2
PI261474	1
PI261475	2
PI262180	2
PI262181	2
PI263044	2
PI264555	1
PI265491	2
PI265497	2
PI265498	2
PI266085A	1
PI266085B	2
PI266085C	2
PI266806A	2
PI266806B	1
PI266806C	2
PI266806D	2
PI266807A	1
PI266807B	1
PI266807C	2
PI266807D	2
PI269518A	2
PI269518B	2
PI269518C	2
PI273483A	1
PI273483B	2
PI273483C	2
PI273483D	2
PI273483E	1
PI273483F	2
PI273484	NA
PI274205	2
PI274206	1
PI274207	2
PI274208	2
PI274209	1
PI274210	1
PI274211	2
PI274212	2
PI274420	2
PI274421	2
PI274422	2
PI274423	2
PI274453	2
PI274454	2
PI274455	1
PI274456	1
PI274506	1
PI274507	2
PI274508	2
PI274582	NA
PI279081	1
PI279088	2
PI279648	2
PI281850	2
PI281883A	NA
PI281883B	NA
PI281883C	NA
PI281885	2
PI281887A	NA
PI281887B	NA
PI281888	2
PI281889	2
PI281890A	NA
PI281890B	NA
PI281890C	NA
PI281890D	NA
PI281891A	NA
PI281891B	NA
PI281891C	NA
PI281891D	NA
PI281892A	NA
PI281892B	NA
PI281893	2
PI281894	2
PI281895A	NA
PI281895B	NA
PI281896A	NA
PI281896B	NA
PI281896C	NA
PI281896D	NA
PI281896E	NA
PI281896F	NA
PI281896G	NA
PI281896H	NA
PI281897A	NA
PI281897B	NA
PI281897C	NA
PI281898A	NA
PI281898B	NA
PI281899A	NA
PI281899B	NA
PI281899C	NA
PI281900	2
PI281901A	NA
PI281901B	NA
PI281902	2
PI281904	2
PI281905	2
PI281906A	NA
PI281906B	NA
PI281906C	NA
PI281907	2
PI281908	2
PI281909	2
PI281910	2
